dataset,k,MaxPartial_KM,SSEDM_KM,Time_KM,MaxPartial_KM++,SSEDM_KM++,Time_KM++,MaxPartial_MBK,SSEDM_MBK,Time_MBK,MaxPartial_IKM-+,SSEDM_IKM-+,Time_IKM-+,tIKM/tKM
LR,26,43358.345084370085,619595.3987489183,0.06860413551330566,41064.50807833852,617398.9209989453,0.10831995010375976,46815.76987915874,638249.2457668522,0.2754822254180908,37196.704651339795,616504.458734603,4.154795408248901,60.56187979284552
Statlog,7,238150864.88442606,777253092.763486,0.04180278778076172,358356216.4039195,506996191.62439585,0.04002084732055664,1500722389.6493225,3148270506.847723,0.05281639099121094,273096191.81432086,729684442.2660173,1.8562570095062256,44.4051009047895
HAR,6,64981.989659595325,189086.65606137348,0.2133869171142578,41593.787502537176,183194.97810567528,0.21595387458801268,53136.738072240216,187741.14568646366,0.2721872329711914,41073.37585097775,182367.07693392155,5.135214471817017,24.06527326634262
ISOLET,26,39714.8604654254,443691.67678173335,0.3723949432373047,37829.14874888352,442890.21987287607,0.4330087184906006,36651.40798335511,450436.8753162002,0.680928897857666,37929.90345517247,443800.8114276372,13.035101699829102,35.00343368390645
